Technology,Thermal Energy required from fuel (MJ/year)
Boiler 1,8013960
Boiler 2,8013960
Boiler 3,8013960
Boiler 4,8013960
Boiler 5,8013960
Boiler 6,8013960
Boiler 7,8013960
Boiler 8,8013960
Boiler 9,8013960
Boiler 10,8013960
Boiler 11,8013960
Boiler 12,8013960
Boiler 13,8013960
Boiler 14,8013960
Boiler 15,8013960
Boiler 16,8013960
Boiler 17,8013960
Boiler 18,8013960
Boiler 19,8013960
Boiler 20,8013960
Boiler 21,8013960
Boiler 22,8013960
Boiler 23,8013960
Boiler 24,8013960
Boiler 25,8013960
Boiler 26,8013960
Boiler 27,8013960
Boiler 28,8013960
Boiler 29,8013960
Boiler 30,8013960
Boiler 31,8013960
Boiler 32,8013960
Boiler 33,8013960
Boiler 34,8013960
Boiler 35,8013960
Boiler 36,8013960
Boiler 37,8013960
Boiler 38,8013960
Boiler 39,8013960
Boiler 40,8013960
Boiler 41,8013960
Boiler 42,8013960
Boiler 43,8013960
Boiler 44,8013960
Boiler 45,8013960
Boiler 46,8013960
Boiler 47,8013960
Boiler 48,8013960
Boiler 49,8013960
Boiler 50,8013960
Boiler 51,8013960
Boiler 52,8013960
Boiler 53,8013960
Boiler 54,8013960
Boiler 55,8013960
Boiler 56,8013960
Boiler 57,8013960
Boiler 58,8013960
Boiler 59,8013960
Boiler 60,8013960
Boiler 61,8013960
Boiler 62,8013960
Boiler 63,8013960
Boiler 64,8013960
Boiler 65,8013960
Boiler 66,8013960
Boiler 67,8013960
Boiler 68,8013960
Boiler 69,8013960
Boiler 70,8013960
Boiler 71,8013960
Boiler 72,8013960
Boiler 73,8013960
Boiler 74,8013960
Boiler 75,8013960
Boiler 76,8013960
Boiler 77,8013960
Boiler 78,8013960
Boiler 79,8013960
Boiler 80,8013960
Boiler 81,8013960
Boiler 82,8013960
Boiler 83,8013960
Boiler 84,8013960
Boiler 85,8013960
Boiler 86,8013960
Boiler 87,8013960
Boiler 88,8013960
Boiler 89,8013960
Boiler 90,8013960
Boiler 91,8013960
Boiler 92,8013960
Boiler 93,8013960
Boiler 94,8013960
Boiler 95,8013960
Boiler 96,8013960
Boiler 97,8013960
Boiler 98,8013960
Boiler 99,8013960
Boiler 100,8013960
Boiler 101,8013960
Boiler 102,8013960
Boiler 103,8013960
Boiler 104,8013960
Boiler 105,8013960
Boiler 106,18441360
Boiler 107,18441360
Boiler 108,18441360
Boiler 109,18441360
Boiler 110,18441360
Boiler 111,18441360
Boiler 112,18441360
Boiler 113,18441360
Boiler 114,18441360
Boiler 115,18441360
Boiler 116,18441360
Boiler 117,18441360
Boiler 118,18441360
Boiler 119,18441360
Boiler 120,18441360
Boiler 121,18441360
Boiler 122,18441360
Boiler 123,18441360
Boiler 124,18441360
Boiler 125,18441360
Boiler 126,18441360
Boiler 127,18441360
Boiler 128,18441360
Boiler 129,18441360
Boiler 130,18441360
Boiler 131,18441360
Boiler 132,18441360
Boiler 133,18441360
Boiler 134,18441360
Boiler 135,18441360
Boiler 136,18441360
Boiler 137,18441360
Boiler 138,18441360
Boiler 139,18441360
Boiler 140,18441360
Boiler 141,18441360
Boiler 142,18441360
Boiler 143,18441360
Boiler 144,18441360
Boiler 145,18441360
Boiler 146,18441360
Boiler 147,18441360
Boiler 148,18441360
Boiler 149,18441360
Boiler 150,18441360
Boiler 151,18441360
Boiler 152,18441360
Boiler 153,18441360
Boiler 154,18441360
Boiler 155,18441360
Boiler 156,18441360
