,,,LHV (MJ/kg),Price (£/tonne),Boiler Efficiency,kgCO2e/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 Prices and Emission factors,Natural Gas,42,292,0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blue Hydrogen,120,1800,0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INCENTIVES,,,,,,,,,,,,,,,,,,,
Technology,PLANT,CO2 Emissions from natural gas combustion (kg/yr),Price of steam produced from Natural gas combustion (£/MWh),Thermal Energy required from fuel (MJ/year),Market Occupancy,,Hydrogen fuel required (kg/year) ,Hydrogen fuel required (tonne/year) ,Hydrogen output (MWh/year),Hydrogen operating cost (£/year),CO2 Emissions from Hydrogen (kg/year),Price of steam produced from Hydrogen combustion (£/MWh),,Renewable hydrogen incentive (£/MWh),CONSTRAINT 4,Impact of incentive (£/MWh),CONSTRAINT 3,Market Share,CONSTRAINT 2,NEW HYDROGEN DEMAND,,CUMULATIVE HYDROGEN DEMAND,A,152705.3923,t/yr,,,,,,0.01,,0.154294933
,,,,,,,,,,,,,,,,,,58.95%,<=,,,INITIAL HYDROGEN DEMAND,Ao,96071.958,t/yr,,,,,,0.02,,0.33456489
Boiler 1,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,LEARNING RATE,LR,0.07,,,,,,,0.03,,0.544912776
Boiler 2,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,LEARNING PARAMETER,B,0.104697379,,,,,,,0.04,,0.791620247
Boiler 3,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,INITIAL HYDROGEN PRICE,Uco,1800,,,,,,,0.047362002,,1
Boiler 4,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,PRICE DUE TO LEARNING,UC,1714.752119,,,,,,,,,
Boiler 5,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 6,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,OBJECTIVE FUNCTION,,85.24788093,,,,,,,,,
Boiler 7,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 8,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,CONSTRAINT 1:,,0.047359934,=<=,0.047362002,,,,,,,
Boiler 9,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 10,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 11,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 12,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 13,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,32,<=,0,=<=,0,<=,0,,,,,,,,,,,,,
Boiler 14,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 15,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 16,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 17,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 18,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 19,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 20,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 21,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 22,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 23,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 24,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 25,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 26,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 27,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 28,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 29,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 30,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
