,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,PLANT,CO2 Emissions per plant (t/yr),Cost at 63% Capture rate ($/yr),CO2 emissions captured (t/yr),Market Occupancy,,Carbon Tax ($/t),CONSTRAINT 4,TAX TO PAY ($/YR),,CTAX IMPACT ON COST ($/yr),CONSTRAINT 3,Market Share,CONSTRAINT 2,CO2 CAPTURED (T/YR),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11.71%,,11801514.74,,Cumulative CO2 captured,,A,"21,801,515",,,,,,,,0.01,,0.005699699,,,,CONSTRAINT 1:
Poland,ArcelorMittal Dąbrowa Górnicza ,"6,840,000","303,195,216","4,309,200",0.0427716,,70,<=,"303,195,312",,-96,<=,0.012527511,<=,1262135.459,,initial CO2 captured,,Ao,"10,000,000",t/yr,,,,,,,0.05,,0.03272368,,,,
Poland,ArcelorMittal Kraków ,"1,862,000","103,170,627","1,173,060",0.01164338,,88,<=,"103,170,627",,0,Not <=,0.001052097,<=,105997.8522,,learning rate,,LR,0.18,,,,,,,,0.1,,0.078962956,,,,
Belgium,Duferco La Louvière steel plant ,"2,793,000","154,755,941","1,759,590",0.01746507,,88,<=,"154,755,941",,0,=<=,0.001578146,<=,158996.7783,,learning parameter,,B,0.286304185,,,,,,,,0.15,,0.145570027,,,,
Belgium,ArcelorMittal Ghent ,"6,650,000","368,466,525","4,189,500",0.0415835,,88,<=,"368,466,525",,0,=<=,0.00375749,<=,378563.758,,Initial cost of capture,,UCo,55.4085,,,,,,,,0.2,,0.243607617,,,,
Italy,ILVA Taranto ,"8,170,000","452,687,445","5,147,100",0.0510883,,88,<=,"452,687,445",,0,=<=,0.005373574,<=,541382.7497,,new cost of capture,,UC,44.32678603,,,,,,,,0.25,,0.391487635,,,,
Romania,Liberty Galati ,"3,990,000","221,079,915","2,513,700",0.0249501,,88,<=,"221,079,915",,0,Not <=,0.002254494,<=,227138.2548,,OBJECTIVE FUNCTION,,,11.08171397,,,,,,,,0.3,,0.620726894,,,,
Czech Republic,Liberty Ostrava a.s,"3,990,000","221,079,915","2,513,700",0.0249501,,88,<=,"221,079,915",,0,Not <=,0.002254494,<=,227138.2548,,,,,,,,,,,,,0.35,,0.987479644,,,,
Czech Republic,Třinecké železárny (TŽ) ,"4,765,200","264,032,584","3,002,076",0.029797548,,88,<=,"264,032,584",,0,=<=,0.00269251,<=,271267.9728,,CONSTRAINT 1,,,0.200000252,=>=,0.2,,,,,,,,,,,,
Slovakia,"U. S. Steel Košice, s.r.o ","5,985,000","331,619,873","3,770,550",0.03742515,,88,<=,"331,619,873",,0,=<=,0.003381741,<=,340707.3822,,,,,,,,,,,,,,,,,,,
Austria,Voestalpine Stahl Donawitz Gmbh ,"1,995,000","110,539,958","1,256,850",0.01247505,,88,<=,"110,539,958",,0,=<=,0.001127247,<=,113569.1274,,,,,,,,,,,,,,,,,,,
Austria,Voestalpine Stahl GmbH ,"7,980,000","442,159,830","5,027,400",0.0499002,,88,<=,"442,159,830",,0,Not <=,0.005025588,<=,506323.4314,,,,,,,,,,,,,,,,,,,
Hungary,ISD Dunaferr Zrt. ,"2,128,000","117,909,288","1,340,640",0.01330672,,88,<=,"117,909,288",,0,=<=,0.001202397,<=,121140.4025,,,,,,,,,,,,,,,,,,,
Serbia,Hesteel Smederevo steel plant ,"2,926,000","162,125,271","1,843,380",0.01829674,,88,<=,"162,125,271",,0,=<=,0.001653296,<=,166568.0535,,,,,,,,,,,,,,,,,,,
Germany,Hüttenwerke Krupp Mannesmann GmbH ,"2,090,000","115,803,765","1,316,700",0.0130691,,88,<=,"115,803,765",,0,=<=,0.001180926,<=,118977.1811,,,,,,,,,,,,,,,,,,,
Germany,Dillinger Hüttenwerke ,"3,724,000","206,341,254","2,346,120",0.02328676,,88,<=,"206,341,254",,0,=<=,0.002104195,<=,211995.7045,,,,,,,,,,,,,,,,,,,
Germany,ArcelorMittal Bremen ,"5,320,000","294,773,220","3,351,600",0.0332668,,88,<=,"294,773,220",,0,=<=,0.003005992,<=,302851.0064,,,,,,,,,,,,,,,,,,,
Germany,ArcelorMittal Duisburg ,"1,634,000","90,537,489","1,029,420",0.01021766,,88,<=,"90,537,489",,0,=<=,0.000923269,<=,93018.52338,,,,,,,,,,,,,,,,,,,
Germany,ArcelorMittal Eisenhüttenstadt ,"3,800,000","210,552,300","2,394,000",0.023762,,88,<=,"210,552,300",,0,=<=,0.002147137,<=,216322.1474,,,,,,,,,,,,,,,,,,,
Germany,Saarstahl Völklingen Steelmaking Plant ,"3,591,000","198,971,924","2,262,330",0.02245509,,88,<=,"198,971,924",,0,=<=,0.002029045,<=,204424.4293,,,,,,,,,,,,,,,,,,,
Germany,Salzgitter Flachstahl GmbH ,"8,740,000","484,270,290","5,506,200",0.0546526,,88,<=,"484,270,290",,0,=<=,0.006417534,<=,646560.7045,,,,,,,,,,,,,,,,,,,
Germany,ThyssenKrupp Steel Duisburg ,"15,960,000","884,319,660","10,054,800",0.099800399,,88,<=,"884,319,659",,1,Not <=,0.019641018,<=,1978814.8,,,,,,,,,,,,,,,,,,,
France,ArcelorMittal Dunkerque ,"8,911,000","493,745,144","5,613,930",0.05572189,,88,<=,"493,745,144",,0,=<=,0.006730721,<=,678114.091,,,,,,,,,,,,,,,,,,,
France,ArcelorMittal Florange steel plant ,"4,256,000","235,818,576","2,681,280",0.02661344,,88,<=,"235,818,576",,0,Not <=,0.002404794,<=,242280.8051,,,,,,,,,,,,,,,,,,,
France,ArcelorMittal Méditerranée - Fos sur Mer ,"7,049,000","390,574,517","4,440,870",0.04407851,,88,<=,"390,574,517",,0,=<=,0.00398294,<=,401277.5834,,,,,,,,,,,,,,,,,,,
Spain,ArcelorMittal Asturias ,"6,650,000","368,466,525","4,189,500",0.0415835,,88,<=,"368,466,525",,0,=<=,0.00375749,<=,378563.758,,,,,,,,,,,,,,,,,,,
Bosnia,ArcelorMittal Zenica ,"1,520,000","84,220,920","957,600",0.0095048,,88,<=,"84,220,920",,0,=<=,0.000858855,<=,86528.85896,,,,,,,,,,,,,,,,,,,
Sweden,SSAB Luleå ,"1,995,000","110,539,958","1,256,850",0.01247505,,88,<=,"110,539,958",,0,=<=,0.001127247,<=,113569.1274,,,,,,,,,,,,,,,,,,,
Sweden,SSAB Oxelösund ,"3,059,000","169,494,602","1,927,170",0.01912841,,88,<=,"169,494,602",,0,=<=,0.001728446,<=,174139.3287,,,,,,,,,,,,,,,,,,,
Finland,SSAB Raahe ,"3,458,000","191,602,593","2,178,540",0.02162342,,88,<=,"191,602,593",,0,=<=,0.001953895,<=,196853.1541,,,,,,,,,,,,,,,,,,,
Netherlands,Tata Steel IJmuiden ,"9,975,000","552,699,788","6,284,250",0.06237525,,88,<=,"552,699,788",,0,=<=,0.008679445,<=,874446.2734,,,,,,,,,,,,,,,,,,,
UK,Scunthorpe Integrated Iron & Steel Works ,"3,724,000","206,341,254","2,346,120",0.02328676,,88,<=,"206,341,254",,0,=<=,0.002104195,<=,211995.7045,,,,,,,,,,,,,,,,,,,
UK,Tata Steel Port ,"4,389,000","243,187,907","2,765,070",0.02744511,,88,<=,"243,187,907",,0,=<=,0.002479944,<=,249852.0803,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
