Country,Plant,Location
Poland,ArcelorMittal Dąbrowa Górnicza ,"50.349521, 19.276144"
Poland,ArcelorMittal Kraków ,"50.069021, 20.091911"
Belgium,Duferco La Louvière steel plant ,"50.491307, 4.199971"
Belgium,ArcelorMittal Ghent ,"51.176472, 3.809268"
Italy,ILVA Taranto ,"40.522362, 17.196461"
Romania,Liberty Galati ,"45.460203, 27.968083"
Czech Republic,Liberty Ostrava a.s,"49.796716, 18.305036"
Czech Republic,Třinecké železárny (TŽ) ,"49.814275, 18.259930"
Slovakia,"U. S. Steel Košice, s.r.o ","48.625599, 21.202980"
Austria,Voestalpine Stahl Donawitz Gmbh ,"47.377974, 15.066267"
Austria,Voestalpine Stahl GmbH ,"48.283931, 14.337504"
Hungary,ISD Dunaferr Zrt. ,"46.9498879927725, 18.947007382858043"
Serbia,Hesteel Smederevo steel plant ,"44.607862576538196, 20.97092777765052"
Germany,Hüttenwerke Krupp Mannesmann GmbH ,"51.37014064403879, 6.726603254253451"
Germany,Dillinger Hüttenwerke ,"49.35305371021572, 6.746570425596685"
Germany,ArcelorMittal Bremen ,"53.14264796931074, 8.695272826707686"
Germany,ArcelorMittal Duisburg ,"51.457793258925676, 6.7427274965846795"
Germany,ArcelorMittal Eisenhüttenstadt ,"52.16966074660696, 14.623121104500473"
Germany,Saarstahl Völklingen Steelmaking Plant ,"49.35886150133371, 7.1692146774903325"
Germany,Salzgitter Flachstahl GmbH ,"52.1537184319777, 10.41443462968763"
Germany,ThyssenKrupp Steel Duisburg ,"51.49567248745465, 6.749346331214041"
France,ArcelorMittal Dunkerque ,"51.025285402695104, 2.2927469529467763"
France,ArcelorMittal Florange steel plant ,"49.32677443003404, 6.140510656108887"
France,ArcelorMittal Méditerranée - Fos sur Mer ,"43.435883591121794, 4.910318756459379"
Spain,ArcelorMittal Asturias ,"43.54893085467492, -5.870250977421407"
Bosnia,ArcelorMittal Zenica ,"44.212545899933374, 17.906770909899024"
Sweden,SSAB Luleå ,"65.56231925366646, 22.210009524959858"
Sweden,SSAB Oxelösund ,"58.672896366050054, 17.122846448167603"
Finland,SSAB Raahe ,"64.66084389922705, 24.437907806856487"
Netherlands,Tata Steel IJmuiden ,"52.482540740595475, 4.610064466595206"
UK,Scunthorpe Integrated Iron & Steel Works ,"53.580862976718116, -0.6177958549315941"
UK,Tata Steel Port ,"51.56812320178877, -3.7598449838212193"
